Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh
水陆并进，船骑双行，浩浩荡荡，杀奔吴国来。	Thủy lục tịnh tiến, thuyền kỵ song hành, hạo hạo đãng đãng, sát bôn ngô quốc lai.
却说范疆、张达将张飞首级，投献吴侯，细告前事。	Khước thuyết phạm cương, trương đạt tương trương phi thủ cấp, đầu hiến ngô hầu, tế cáo tiền sự.
孙权听罢，收了二人，乃谓百官曰：“今刘玄德即了帝位，统精兵七十余万，御驾亲征，其势甚大，如之奈何？	Tôn quyền thính bãi, thu liễu nhị nhân, nãi vị bách quan viết: "Kim lưu huyền đức tức liễu đế vị, thống tinh binh thất thập dư vạn, ngự giá thân chinh, kì thế thậm đại, như chi nại hà?
”百官尽皆失色，面面相觑。	" Bách quan tẫn giai thất sắc, diện diện tướng thứ.
诸葛瑾出曰：“某食君侯之禄久矣，无可报效，愿舍残生，去见蜀主，以利害说之，使两国相和，共讨曹丕之罪。	Gia Cát cẩn xuất viết: "Mỗ thực quân hầu chi lộc cửu hĩ, vô khả báo hiệu, nguyện xá tàn sinh, khứ kiến thục chủ, dĩ lợi hại thuyết chi, sử lưỡng quốc tương hòa, cộng thảo tào phi chi tội.
”权大喜，即遣诸葛瑾为使，来说先主罢兵。	" quyền đại hỉ, tức khiển Gia Cát cẩn vi sử, lai thuyết tiên chủ bãi binh.
正是：两国相争通使命，一言解难赖行人。	Chánh thị: lưỡng quốc tương tranh thông sử mệnh, nhất ngôn giải nan lại hành nhân.
未知诸葛瑾此去如何，且看下文分解。第八十二回孙权降魏受九锡先主征吴赏六军	Vị tri Gia Cát cẩn thử khứ như hà, thả khán hạ văn phân giải. sai Quan Hưng nhường Trương Đệ bát thập nhị hồi tôn quyền hàng ngụy thụ cửu tích tiên chủ chinh ngô thưởng lục quân

Paragraph 8
却说章武元年秋八月，先主起大军至夔关，驾屯白帝城。	Khước thuyết chương võ nguyên niên thu bát nguyệt, tiên chủ khởi đại quân chí quỳ quan, giá truân bạch đế thành.
前队军马已出川口。	Tiền đội quân mã dĩ xuất xuyên khẩu.
近臣奏曰：“吴使诸葛瑾至。	Cận thần tấu viết: "Ngô sử Gia Cát cẩn chí.
”先主传旨教休放入。	" Tiên chủ truyền chỉ giáo hưu phóng nhập.
黄权奏曰：“瑾弟在蜀为相，必有事而来。	Hoàng quyền tấu viết: "Cẩn đệ tại thục vi tương, tất hữu sự nhi lai.
陛下何故绝之？	Bệ hạ hà cố tuyệt chi?
当召入，看他言语。	Đương triệu nhập, khán tha ngôn ngữ.
可从则从；如不可，则就借彼口说与孙权，令知问罪有名也。	Khả tòng tắc tòng; như bất khả, tắc tựu tá bỉ khẩu thuyết dữ tôn quyền, lệnh tri vấn tội hữu danh dã.
”先主从之，召瑾入城。	" Tiên chủ tòng chi, triệu cẩn nhập thành.
瑾拜伏于地。	Cẩn bái phục vu địa.
先主问曰：“子瑜远来，有何事故？	Tiên chủ vấn viết: "Tử du viễn lai, hữu hà sự cố?
”瑾曰：“臣弟久事陛下，臣故不避斧钺，特来奏荆州之事。	" Cẩn viết: "Thần đệ cửu sự bệ hạ, thần cố bất tị phủ việt, đặc lai tấu kinh châu chi sự.
前者，关公在荆州时，吴侯数次求亲，关公不允。	Tiền giả, quan công tại kinh châu thời, ngô hầu sổ thứ cầu thân, quan công bất duẫn.
后关公取襄阳，曹操屡次致书吴侯，使袭荆州；吴侯本不肯许，因吕蒙与关公不睦，故擅自兴兵，误成大事，今吴侯悔之不及。	Hậu quan công thủ tương dương, tào thao lũ thứ trí thư ngô hầu, sử tập kinh châu; ngô hầu bổn bất khẳng hứa, nhân lữ mông dữ quan binh, ngộ thành đại sự, kim ngô hầu hối chi bất cập.
此乃吕蒙之罪，非吴侯之过也。	Thử nãi lữ mông chi tội, phi ngô hầu chi quá dã.
今吕蒙已死，冤仇已息。	Kim lữ mông dĩ tử, oan cừu dĩ tức.
孙夫人一向思归。	Tôn phu nhân nhất hướng tư quy.
今吴侯令臣为使，愿送归夫人，缚还降将，并将荆州仍旧交还，永结盟好，共灭曹丕，以正篡逆之罪。	Kim ngô hầu lệnh thần vi sử, nguyện tống quy phu nhân, phược hoàn hàng tướng, tịnh tương kinh châu nhưng cựu giao hoàn, vĩnh kết minh hảo, cộng diệt tào phi, dĩ chánh soán nghịch chi tội.
”先主怒曰：“汝东吴害了朕弟，今日敢以巧言来说乎！	" Tiên chủ nộ viết: "Nhữ đông ngô hại liễu trẫm đệ, kim nhật cảm dĩ xảo ngôn lai thuyết hồ!
”瑾曰：“臣请以轻重大小之事，与陛下论之：陛下乃汉朝皇叔，今汉帝已被曹丕篡夺，不思剿除；却为异姓之亲，而屈万乘之尊：是舍大义而就小义也。	" Cẩn viết: "Thần thỉnh dĩ khinh trọng đại tiểu chi sự, dữ bệ hạ luận chi: bệ hạ nãi hán triều hoàng thúc, kim hán đế dĩ bị tào phi soán đoạt, bất tư tiễu trừ; khước vi dị tính chi thân, nhi khuất vạn thừa chi tôn: thị xá đại nghĩa nhi tựu tiểu nghĩa dã.
中原乃海内之地，两都皆大汉创业之方，陛下不取，而但争荆州：是弃重而取轻也。	Trung nguyên nãi hải nội chi địa, lưỡng đô giai đại hán sáng nghiệp chi phương, bệ hạ bất thủ, nhi đãn tranh kinh châu: thị khí trọng nhi thủ khinh dã.
天下皆知陛下即位，必兴汉室，恢复山河；今陛下置魏不问，反欲伐吴：窃为陛下不取。	Thiên hạ giai tri bệ hạ tức vị, tất hưng hán thất, khôi phục sơn hà; kim bệ hạ trí ngụy bất vấn, phản dục phạt ngô: thiết vi bệ hạ bất thủ.
”先主大怒曰：“杀吾弟之仇，不共戴天！	"Tiên chủ đại nộ viết: "Sát ngô đệ chi cừu, bất cộng đái thiên!
欲朕罢兵，除死方休！	Dục trẫm bãi binh, trừ tử phương hưu!
不看丞相之面，先斩汝首！	Bất khán thừa tương chi diện, tiên Cát cẩn kiến tiên chủ bất thính, chỉ đắc tự hồi giang nam. tướng, thì chém đầu nhà ngươi trước đó!
今且放汝回去，说与孙权：洗颈就戮！	Nay hãy tha cho nhà ngươi về bảo với Tôn Quyền hãy rửa cổ trước đi mà chịu chết.
”诸葛瑾见先主不听，只得自回江南。	Gia

Paragraph 9
却说张昭见孙权曰：“诸葛子瑜知蜀兵势大，故假以请和为辞，欲背吴入蜀。	Khước thuyết trương chiêu kiến tôn quyền viết: "Gia Cát tử du tri thục binh thế đại, cố giả dĩ thỉnh hòa vi từ, dục bối ngô nhập thục.
此去必不回矣。	Thử khứ tất bất hồi hĩ.
”权曰：“孤与子瑜，有生死不易之盟；孤不负子瑜，子瑜亦不负孤。	" Quyền viết: "Cô dữ tử du, hữu sinh tử bất dịch chi minh; cô bất phụ tử du, tử du diệc bất phụ cô.
昔子瑜在柴桑时，孔明来吴，孤欲使子瑜留之。	Tích tử du tại sài tang thời, khổng minh lai ngô, cô dục sử tử du lưu chi.
子瑜曰：弟已事玄德，义无二心；弟之不留，犹瑾之不往。	Tử du viết: đệ dĩ sự huyền đức, nghĩa vô nhị tâm; đệ chi bất lưu, do cẩn chi bất vãng.
其言足贯神明。	Kì ngôn túc quán thần minh.
今日岂肯降蜀乎？	Kim nhật khởi khẳng hàng thục hồ?
孤与子瑜可谓神交，非外言所得间也。	Cô dữ tử du khả vị thần giao, phi ngoại ngôn sở đắc gian dã.
”正言间，忽报诸葛瑾回。	"Chánh ngôn gian, hốt báo Gia Cát cẩn hồi.
权曰：“孤言若何？	Quyền viết: "Cô ngôn nhược hà?
”张昭满面羞惭而退。	" Trương chiêu mãn diện tu tàm nhi thối.
瑾见孙权，言先主不肯通和之意。	Cẩn kiến tôn quyền, ngôn tiên chủ bất khẳng thông hòa chi ý.
权大惊曰：“若如此，则江南危矣！	Quyền đại kinh viết: "Nhược như thử, tắc giang nam nguy hĩ!
”阶下一人进曰：“某有一计，可解此危。	" Giai hạ nhất nhân tiến viết: "Mỗ hữu nhất kế, khả giải thử nguy.
”咨曰：“主公可作一表，某愿为使，往见魏帝曹丕，陈说利害，使袭汉中，则蜀兵自危矣。	" Thị chi, nãi trung đại vãng kiến ngụy đế tào phi, trần thuyết lợi hại, sử tập hán trung, tắc thục binh tự nguy hĩ.
”权曰：“此计最善。	" Quyền viết: "Thử kế tối thiện.
但卿此去，休失了东吴气象。	Đãn khanh thử khứ, hưu thất liễu đông ngô khí tượng.
”咨曰：“若有些小差失，即投江而死，安有面目见江南人物乎！	" Tư viết: "Nhược hữu ta tiểu sai thất, tức đầu giang nhi tử, an hữu diện mục kiến giang nam nhân vật hồ!
”	Tư thưa: - Chúa công nên làm một bài biểu, tôi xin sang sứ nước Ngụy, ra mắt vua Ngụy là Tào Phi, bày việc lợi hại, để

Paragraph 10
权大喜，即写表称臣，令赵咨为使。	Quyền đại hỉ, tức tả biểu xưng thần, lệnh triệu tư vi sử.
星夜到了许都，先见太尉贾诩等并大小官僚。	Tinh dạ đáo liễu hứa đô, tiên kiến thái úy cổ hủ đẳng tịnh đại tiểu quan liêu.
次日早朝，贾诩出班奏曰：“东吴遣中大夫赵咨上表。	Thứ nhật tảo triều, cổ hủ xuất ban tấu viết: "Đông ngô khiển trung đại phu triệu tư thượng biểu.
”曹丕笑曰：“此欲退蜀兵故也。	" Tào phi tiếu viết: "Thử dục thối thục binh cố dã.
”即令召入。	" Tức lệnh triệu nhập.
咨拜伏于丹墀。	Tư bái phục vu đan trì.
丕览表毕，遂问咨曰：“吴侯乃何如主也：”咨曰：“聪明、仁智、雄略之主也。	Phi lãm biểu tất, toại vấn tư viết: "Ngô hầu nãi hà như chủ dã: "Tư viết: "Thông minh, nhân trí, hùng lược chi chủ dã.
”丕笑曰：“卿褒奖毋乃太甚？	" Phi tiếu viết: "Khanh bao tưởng vô nãi thái thậm?
”咨曰：“臣非过誉也。	" Tư viết: "Thần phi quá dự dã.
据三江虎视天下，是其雄也；屈身于陛下，是其略也：以此论之，岂不为聪明、仁智、雄略之主乎？	Ngô hầu nạp lỗ túc vu phàm phẩm, thị kì thông dã; bạt lữ mông vu hành trận, thị kì trí dã; cư tam giang hổ thị thiên hạ, thị kì hùng dã; khuất thân vu bệ hạ, thị kì lược dã: dĩ thử luận chi, khởi bất vi thông minh, nhân trí, hùng lược chi chủ hồ?
”丕又问曰：“吴主颇知学乎？	"Phi hựu vấn viết: "Ngô chủ pha tri học hồ?
”咨曰：“吴主浮江万艘，带甲百万，任贤使能，志存经略；少有余闲，博览书传，历观史籍，采其大旨，不效书生寻章摘句而已。	" Tư viết: "Ngô chủ phù giang vạn tao, đái giáp bách vạn, nhâm hiền sử năng, chí tồn kinh lược; thiểu hữu dư nhàn, bác lãm thư truyền, lịch quan sử tịch, thải kì đại chỉ, bất hiệu thư sinh tầm chương trích cú nhi dĩ.
”丕曰：“朕欲伐吴，可乎？	" Phi viết: "Trẫm dục phạt ngô, khả hồ?
”咨曰：“大国有征伐之兵，小国有御备之策。	" Tư viết: "Đại quốc hữu chinh phạt chi binh, tiểu quốc hữu ngự bị chi sách.
”丕曰：“吴畏魏乎？	" Phi viết: "Ngô úy ngụy hồ?
”咨曰：“带甲百万，江汉为池，何畏之有？	" Tư viết: "Đái giáp bách vạn, giang hán vi trì, hà úy chi hữu?
”丕曰：“东吴如大夫者几人？	" Phi viết: "Đông ngô như đại phu giả kỉ nhân?
”咨曰：“聪明特达者八九十人；如臣之辈，车载斗量，不可胜数。	" Tư viết: "Thông minh đặc đạt giả bát cửu thập nhân; như thần chi bối, xa tái đấu lượng, bất khả thắng sổ.
”丕叹曰：“使于四方，不辱君命，卿可以当之矣。	" Phi thán viết: "Sử vu tứ phương, bất nhục quân mệnh, khanh khả dĩ đương chi hĩ.
”于是即降诏，命太常卿邢贞赍册封孙权为吴王，加九锡。	" Vu thị tức hàng chiếu, mệnh thái thường khanh hình trinh tê sách phong tôn quyền vi ngô vương, gia cửu tích.
赵咨谢恩出城。	Triệu tư tạ ân xuất thành. là nhân, lấy Kinh Châu, máu không dây đến mũi gươm, đó là trí; giữ ba vương, được dùng lễ cửu tích.

Paragraph 11
大夫刘晔谏曰：“今孙权惧蜀兵之势，故来请降。	Đại phu lưu diệp gián viết: "Kim tôn quyền cụ thục binh chi thế, cố lai thỉnh hàng.
以臣愚见：蜀、吴交兵，乃天亡之也；今若遣上将提数万之兵，渡江袭之，蜀攻其外，魏攻其内，吴国之亡，不出旬日。	Dĩ thần ngu kiến: thục, ngô giao binh, nãi thiên vong chi dã; kim nhược khiển thượng tương đề sổ vạn chi binh, độ giang tập chi, thục công kì ngoại, ngụy công kì nội, ngô quốc chi vong, bất xuất tuần nhật.
吴亡则蜀孤矣。	Ngô vong tắc thục cô hĩ.
陛下何不早图之？	Bệ hạ hà bất tảo đồ chi?
”丕曰：“孙权既以礼服朕，朕若攻之，是沮天下欲降者之心；不若纳之为是。	"Phi viết: "Tôn quyền kí dĩ lễ phục trẫm, trẫm nhược công chi, thị tự thiên hạ dục hàng giả chi tâm; bất nhược nạp chi vi thị.
”刘晔又曰：“孙权虽有雄才，乃残汉骠骑将军、南昌侯之职。	" Lưu diệp hựu viết: "Tôn quyền tuy hữu hùng tài, nãi tàn hán phiếu kỵ tướng quân, nam xương hầu chi chức.
官轻则势微，尚有畏中原之心；若加以王位，则去陛下一阶耳。	Quan khinh tắc thế vi, thượng hữu úy trung nguyên chi tâm; nhược gia dĩ vương vị, tắc khứ bệ hạ nhất giai nhĩ.
今陛下信其诈降，崇其位号以封殖之，是与虎添翼也。	Kim bệ hạ tín kì trá hàng, sùng kì vị hào dĩ phong thực chi, thị dữ hổ thiêm dực dã.
”丕曰：“不然。	" Phi viết: "Bất nhiên.
朕不助吴，亦不助蜀。	Trẫm bất trợ ngô, diệc bất trợ thục.
待看吴、蜀交兵，若灭一国，止存一国，那时除之，有何难哉？	Đãi khán ngô, thục giao binh, nhược diệt nhất quốc, chỉ tồn nhất quốc, na thời trừ chi, hữu hà nan tai?
朕意已决，卿勿复言。	Trẫm ý dĩ quyết, khanh vật phục ngôn.
”遂命太常卿邢贞同赵咨捧执册锡，径至东吴。	" Toại mệnh thái thường khanh hình trinh đồng triệu tư phủng Quyền.

Paragraph 12
却说孙权聚集百官，商议御蜀兵之策。	Khước thuyết tôn quyền tụ tập bách quan, thương nghị ngự thục binh chi sách.
忽报魏帝封主公为王，礼当远接，顾雍谏曰：“主公宜自称上将军、九州伯之位，不当受魏帝封爵。	Hốt báo ngụy đế phong chúa công vi vương, lễ đương viễn tiếp, cố ung gián viết: "Chúa công nghi tự xưng thượng tướng quân, cửu châu bá chi vị, bất đương thụ ngụy đế phong tước.
