Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ
”张飞那里肯听，引二十余骑，至长坂桥。	" Trương phi na lí khẳng thính, dẫn nhị thập dư kỵ, chí trường phản kiều.
见桥东有一带树木，飞生一计：教所从二十余骑，都砍下树枝，拴在马尾上，在树林内往来驰骋，冲起尘土，以为疑兵。	Kiến kiều đông hữu nhất đái thụ mộc, phi sinh nhất kế: giáo sở tòng nhị thập dư kỵ, đô khảm hạ thụ chi, thuyên tại mã vĩ thượng, tại thụ lâm nội vãng lai trì sính, trùng khởi trần thổ, dĩ vi nghi binh.
飞却亲自横矛立马于桥上，向西而望。	Phi khước thân tự hoành mâu lập mã vu kiều thượng, hướng tây nhi vọng. cho bụi mù lên để làm nghi binh.

Paragraph 17
却说赵云自四更时分，与曹军厮杀，往来冲突，杀至天明，寻不见玄德，又失了玄德老小，云自思曰：“主公将甘、糜二夫人与小主人阿斗，托付在我身上；今日军中失散，有何面目去见主人？	Khước thuyết triệu vân tự tứ canh thời phân, dữ tào quân tư sát, vãng lai xung đột, sát chí thiên minh, tầm bất kiến huyền đức, hựu thất liễu huyền đức lão tiểu, vân tự tư viết: "Chúa công tương cam, mi nhị phu nhân dữ tiểu chủ nhân a đấu, thác phó tại ngã thân thượng; kim nhật quân trung thất tán, hữu hà diện mục khứ kiến chủ nhân?
不如去决一死战，好歹要寻主母与小主人下落！	Bất như khứ quyết nhất tử chiến, hảo ngạt yếu tầm chủ mẫu dữ tiểu chủ nhân hạ lạc!
”回顾左右，只有三四十骑相随。	" Hồi cố tả hữu, chỉ hữu tam tứ thập kỵ tương tùy.
云拍马在乱军中寻觅，二县百姓号哭之声震天动地；中箭着枪抛男弃女而走者不计其数。	Vân phách mã tại loạn quân trung tầm mịch, nhị huyền bách tính hào khốc chi thanh chấn thiên động địa; trúng tiễn trứ thương phao nam khí nữ nhi tẩu giả bất kế kì sổ.
赵云正走之间，见一人卧在草中，视之，乃简雍也。	Triệu vân chánh tẩu chi gian, kiến nhất nhân ngọa tại thảo trung, thị chi, nãi giản ung dã.
云急问曰：“曾见两位主母否？	Vân cấp vấn viết: "Tằng kiến lưỡng vị chủ mẫu phủ?
”雍曰：“二主母弃了车仗，抱阿斗而走。	" Ung viết: "Nhị chủ mẫu khí liễu xa trượng, bão a đấu nhi tẩu.
我飞马赶去，转过山坡，被一将刺了一枪，跌下马来，马被夺了去。	Ngã phi mã cản khứ, chuyển quá sơn pha, bị nhất tương thứ liễu nhất thương, điệt hạ mã lai, mã bị đoạt liễu khứ.
我争斗不得，故卧在此。	Ngã tranh đấu bất đắc, cố ngọa tại thử.
”云乃将从骑所骑之马，借一匹与简雍骑坐；又着二卒扶护简雍先去报与主人：“我上天入地，好歹寻主母与小主人来。	" Vân nãi tương tòng kỵ sở kỵ chi mã, tá nhất thất dữ giản ung kỵ tọa; hựu trứ nhị tốt phù hộ giản ung tiên khứ báo dữ chủ nhân: "Ngã thượng thiên nhập địa, hảo ngạt tầm chủ mẫu dữ tiểu chủ nhân lai.
如寻不见，死在沙场上也！	Như tầm bất kiến, tử tại sa trường thượng dã!
”说罢，拍马望长坂坡而去。	" Thuyết bãi, phách mã vọng trường phản pha nhi khứ.
忽一人大叫：“赵将军那里去？	Hốt nhất nhân đại khiếu: "Triệu tướng quân na lí khứ?
”云勒马问曰：“你是何人？	" Vân lặc mã vấn viết: "Nhĩ thị hà nhân?
”答曰：“我乃刘使君帐下护送车仗的军士，被箭射倒在此。	" Đáp viết: "Ngã nãi lưu sử quân trướng hạ hộ tống xa trượng đích quân sĩ, bị tiễn xạ đảo tại thử.
”赵云便问二夫人消息。	" Triệu vân tiện vấn nhị phu nhân tiêu tức.

Paragraph 18
军士曰：“恰才见甘夫人披头跣足，相随一伙百姓妇女，投南而走。	Quân sĩ viết: "Kháp tài kiến cam phu nhân phi đầu tiển túc, tên lính nói: - Mới rồi thấy Cam tương tùy nhất hỏa bách tính phụ nữ, đầu nam nhi tẩu.
”云见说，也不顾军士，急纵马望南赶去。	" Vân kiến thuyết, dã bất cố quân sĩ, cấp túng mã vọng nam cản khứ.
只见一伙百姓，男女数百人，相携而走。	Chỉ kiến nhất hỏa bách tính, nam nữ sổ bách nhân, tương huề nhi tẩu.
”云大叫曰：“内中有甘夫人否？	"Vân đại khiếu viết: "Nội trung hữu cam phu nhân phủ?
”夫人在后面望见赵云，放声大哭。	" Phu nhân tại hậu diện vọng kiến triệu vân, phóng thanh đại khốc.
云下马插枪而泣曰：“使主母失散，云之罪也。	Vân hạ mã sáp thương nhi khấp viết: "Sử chủ mẫu thất tán, vân chi

Paragraph 19
糜夫人与小主人安在？	Mi phu nhân dữ tiểu chủ nhân an tại?
”甘夫人曰：“我与糜夫人被逐，弃了车仗，杂于百姓内步行，又撞见一枝军马冲散。	"Cam phu nhân viết: "Ngã dữ mi phu nhân bị trục, khí liễu xa trượng, tạp vu bách tính nội bộ hành, hựu chàng kiến nhất chi quân mã trùng tán.
糜夫人与阿斗不知何往。	Mi phu nhân dữ a đấu bất tri hà vãng.
我独自逃生至此。	Ngã độc tự đào sinh chí thử.

Paragraph 20
正言间，百姓发喊，又撞出一枝军来。	Chánh ngôn gian, bách tính phát hảm, hựu chàng xuất nhất chi quân lai.
赵云拔枪上马看时，面前马上绑着一人，乃糜竺也。	Triệu vân bạt thương thượng mã khán thời, diện tiền mã thượng bảng trứ nhất nhân, nãi mi trúc dã.
背后一将，手提大刀，引着千余军。	Bối hậu nhất tương, thủ đề đại đao, dẫn trứ thiên dư quân.
乃曹仁部将淳于导，拿住糜竺，正要解去献功。	Nãi tào nhân bộ tương thuần vu đạo, nã trụ mi trúc, chánh yếu giải khứ hiến công.
赵云大喝一声，挺枪纵马，直取淳于导。	Triệu vân đại hát nhất thanh, đĩnh thương túng mã, trực thủ thuần vu đạo.
导抵敌不住，被云一枪刺落马下，向前救了糜竺，夺得马二匹。	Đạo để địch bất trụ, bị vân nhất thương thứ lạc mã hạ, hướng tiền cứu liễu mi trúc, đoạt đắc mã nhị thất.
云请甘夫人上马，杀开条大路，直送至长坂城。	Vân thỉnh cam phu nhân thượng mã, sát khai điều đại lộ, trực tống chí trường phản thành.
只见张飞横矛立马于桥上，大叫：“子龙！	Chỉ kiến trương phi hoành mâu lập mã vu kiều thượng, đại khiếu: "Tử long!
你如何反我哥哥？	Nhĩ như hà phản ngã ca ca?
”云曰：“我寻不见主母与小主人，因此落后，何言反耶？	" Vân viết: "Ngã tầm bất kiến chủ mẫu dữ tiểu chủ nhân, nhân thử lạc hậu, hà ngôn phản da?
”飞曰：“若非简雍先来报信，我今见你，怎肯干休也！	" Phi viết: "Nhược phi giản ung tiên lai báo tín, ngã kim kiến nhĩ, chẩm khẳng can hưu dã!
”云曰：“主公在何处？	" Vân viết: "Chúa công tại hà xứ?
”飞曰：“只在前面不远。	" Phi viết: "Chỉ tại tiền diện bất viễn.
”云谓糜竺曰：“糜子仲保甘夫人先行，待我仍往寻糜夫人与小主人去。	" Vân vị mi trúc viết: "Mi tử trọng bảo cam phu nhân tiên hành, đãi ngã nhưng vãng tầm mi phu nhân dữ tiểu chủ nhân khứ.
”言罢，引数骑再回旧路。	" Ngôn bãi, dẫn sổ kỵ tái hồi cựu lộ.

Paragraph 21
正走之间，见一将手提铁枪，背着一口剑，引十数骑跃马而来。	Chánh tẩu chi gian, kiến nhất tương thủ đề thiết thương, bối trứ nhất khẩu kiếm, dẫn thập sổ kỵ dược mã nhi lai.
赵云更不打话，直取那将。	Triệu vân canh bất đả thoại, trực thủ na tương.
交马只一合，把那将一枪刺倒，从骑皆走。	Giao mã chỉ nhất hợp, bả na tương nhất thương thứ đảo, tòng kỵ giai tẩu.
原来那将乃曹操随身背剑之将夏侯恩也。	Nguyên lai na tương nãi tào thao tùy thân bối kiếm chi tương hạ hầu ân dã.
曹操有宝剑二口：一名“倚天”，一名“青釭”；倚天剑自佩之，青釭剑令夏侯恩佩之。	Tào thao hữu bảo kiếm nhị khẩu: nhất danh "Ỷ thiên", nhất danh "Thanh công"; ỷ thiên kiếm tự bội chi, thanh công kiếm lệnh hạ hầu ân bội chi.
那青釭剑砍铁如泥，锋利无比。	Na thanh công kiếm khảm thiết như nê, phong lợi vô bỉ.
当时夏侯恩自恃勇力，背着曹操，只顾引人抢夺掳掠。	Đương thời hạ hầu ân tự thị dũng lực, bối trứ tào thao, chỉ cố dẫn nhân thưởng đoạt lỗ lược.
不想撞着赵云，被他一枪刺死，夺了那口剑，看靶上有金嵌“青釭”二字，方知是宝剑也。	Bất tưởng chàng trứ triệu vân, bị tha nhất thương thứ tử, đoạt liễu na khẩu kiếm, khán bá thượng hữu kim khảm "Thanh công" nhị tự, phương tri thị bảo kiếm dã.
云插剑提枪，复杀入重围，回顾手下从骑，已没一人，只剩得孤身。	Vân sáp kiếm đề thương, phục sát nhập trọng vi, hồi cố thủ hạ tòng kỵ, dĩ một nhất nhân, chỉ thặng đắc cô thân.
云并无半点退心，只顾往来寻觅；但逢百姓，便问糜夫人消息。	Vân tịnh vô bán điểm thối tâm, chỉ cố vãng lai tầm mịch; đãn phùng bách tính, tiện vấn mi phu nhân tiêu tức.
忽一人指曰：“夫人抱着孩儿，左腿上着了枪，行走不得，只在前面墙缺内坐地。	Hốt nhất nhân chỉ viết: "Phu nhân bão trứ hài nhi, tả thối thượng trứ liễu thương, hành tẩu bất đắc, chỉ tại tiền diện tường khuyết nội tọa địa.

Paragraph 22
赵云听了，连忙追寻。	Triệu vân thính liễu, liên mang truy tầm.
只见一个人家，被火烧坏土墙，糜夫人抱着阿斗，坐于墙下枯井之傍啼哭。	Chỉ kiến nhất cá nhân gia, bị hỏa thiêu phôi thổ tường, mi phu nhân bão trứ a đấu, tọa vu tường hạ khô tỉnh chi bàng đề khốc.
云急下马伏地而拜。	Vân cấp hạ mã phục địa nhi bái.
夫人曰：“妾得见将军，阿斗有命矣。	Phu nhân viết: "Thiếp đắc kiến tướng quân, a đấu hữu mệnh hĩ.
望将军可怜他父亲飘荡半世，只有这点骨血。	Vọng tướng quân khả liên tha phụ thân phiêu đãng bán thế, chỉ hữu giá điểm cốt huyết.
将军可护持此子，教他得见父面，妾死无恨！	Tướng quân khả hộ trì thử tử, giáo tha đắc kiến phụ diện, thiếp tử vô hận!
”云曰：“夫人受难，云之罪也。	" Vân viết: "Phu nhân thụ nan, vân chi tội dã.
不必多言，请夫人上马。	Bất tất đa ngôn, thỉnh phu nhân thượng mã.
云自步行死战，保夫人透出重围。	Vân tự bộ hành tử chiến, bảo phu nhân thấu xuất trọng vi.
”糜夫人曰：“不可！	" Mi phu nhân viết: "Bất khả!
将军岂可无马！	Tướng quân khởi khả vô mã!
此子全赖将军保护。	Thử tử toàn lại tướng quân bảo hộ.
妾已重伤，死何足惜！	Thiếp dĩ trọng thương, tử hà túc tích!
望将军速抱此子前去，勿以妾为累也。	Vọng tướng quân tốc bão thử tử tiền khứ, vật dĩ thiếp vi luy dã.
”云曰：“喊声将近，追兵已至，请夫人速速上马。	" Vân viết: "Hảm thanh tương cận, truy binh dĩ chí, thỉnh phu nhân tốc tốc thượng mã.
”糜夫人曰：“妾身委实难去。	" Mi phu nhân viết: "Thiếp thân ủy thật nan khứ.
休得两误。	Hưu đắc lưỡng ngộ.
”乃将阿斗递与赵云曰：“此子性命全在将军身上！	" Nãi tương a đấu đệ dữ triệu vân viết: "Thử tử tính mệnh toàn tại tướng quân thân thượng!
”赵云三回五次请夫人上马，夫人只不肯上马。	" Triệu vân tam hồi ngũ thứ thỉnh phu nhân thượng mã, phu nhân chỉ bất khẳng thượng mã.
四边喊声又起。	Tứ biên hảm thanh hựu khởi.
云厉声曰：“夫人不听吾言，追军若至，为之奈何？	Vân lệ thanh viết: "Phu nhân bất thính ngô ngôn, truy quân nhược chí, vi chi nại hà?
”糜夫人乃弃阿斗于地，翻身投入枯井中而死。	" Mi phu nhân nãi khí a đấu vu địa, phiên thân đầu nhập khô tỉnh trung nhi tử.
后人有诗赞之曰：“战将全凭马力多，步行怎把幼君扶？	Hậu nhân hữu thi tán chi viết: "Chiến tương toàn bằng mã lực đa, bộ hành chẩm bả ấu quân phù?
拚将一死存刘嗣，勇决还亏女丈夫。	Biện tương nhất tử tồn lưu tự, dũng quyết hoàn khuy nữ trượng phu.
”赵云见夫人已死，恐曹军盗尸，便将土墙推倒，掩盖枯井。掩讫，解开勒甲绦，放下掩心镜，将阿斗抱护在怀，绰枪上马。	" Triệu vân kiến phu nhân dĩ tử, khủng tào quân đạo thi, tiện tương thổ tường thôi đảo, yểm tâm kính, tương a đấu bão hộ tại hoài, xước thương thượng mã.
早有一将，引一队步军至，乃曹洪部将晏明也，持三尖两刃刀来战赵云。	Tảo hữu nhất tương, dẫn nhất đội bộ quân chí, nãi tào hồng bộ tương yến minh dã, trì tam tiêm lưỡng nhận đao lai chiến triệu vân.
不三合，被赵云一枪刺倒，杀散众军，冲开一条路。	Bất tam hợp, bị triệu vân nhất thương thứ đảo, sát tán chúng quân, trùng khai nhất điều lộ.
正走间，前面又一枝军马拦路。	Chánh tẩu gian, tiền diện hựu nhất chi quân mã lan lộ.
当先一员大将，旗号分明，大书河间张郃。	Đương tiên nhất viên đại tướng, kì hào phân minh, đại thư hà gian trương cáp.
云更不答话，挺枪便战。	Vân canh bất đáp thoại, đĩnh thương tiện chiến.
约十余合，云不敢恋战，夺路而走。	Ước thập dư hợp, vân bất cảm luyến chiến, đoạt lộ nhi tẩu.
背后张郃赶来，云加鞭而行，不想趷跶一声，连马和人，颠入土坑之内。	Bối hậu trương cáp cản lai, vân gia tiên nhi hành, bất tưởng hột đáp nhất thanh, liên mã hòa nhân, điên nhập thổ khanh chi nội.
张郃挺枪来刺，忽然一道红光，从土坑中滚起，那匹马平空一跃，跳出坑外。	Trương cáp đĩnh thương lai thứ, hốt nhiên nhất đạo hồng quang, tòng thổ khanh trung cổn khởi, na thất mã bình không nhất dược, khiêu xuất khanh ngoại.
后人有诗曰：“红光罩体困龙飞，征马冲开长坂围。	Hậu nhân hữu thi viết: "Hồng quang tráo thể khốn long phi, chinh mã trùng khai trường phản vi.
